site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100aab1b	memcpy	SAME	禁止交易地图	禁止交易地图	0x6c3f00	0x6c3f00	0x6c3f05
0x100aabb6	tramp2	NEW	禁止宝宝休息		0x623a73	-	0x623a7a
0x100aac71	memcpy	SAME	禁止宝宝休息	禁止宝宝休息	0x623a73	0x623a73	0x623a7a
0x100aacef	memcpy	SAME	行会显示	行会显示	0x6c5bcb	0x6c5bcb	0x6c5bcd
0x100aad29	memcpy	SAME	行会显示	行会显示	0x6c5bf7	0x6c5bf7	0x6c5bf9
0x100aadc0	memcpy	SAME	行会显示	行会显示	0x6c5bcb	0x6c5bcb	0x6c5bcd
0x100aadfa	memcpy	SAME	行会显示	行会显示	0x6c5bf7	0x6c5bf7	0x6c5bf9
0x100aaebd	memcpy	SAME	修复卡防御	修复卡防御	0x767910	0x767910	0x767911
0x100aaf41	memcpy	SAME	修复卡防御	修复卡防御	0x767910	0x767910	0x767911
0x100ab009	memcpy	SAME	地面物品消失时间	地面物品消失时间	0x77a3ff	0x77a3ff	0x77a403
0x100ab090	memcpy	SAME	地面物品消失时间	地面物品消失时间	0x77a3ff	0x77a3ff	0x77a403
0x100ab10b	memcpy	SAME	下线宝宝死亡	下线宝宝死亡	0x6b5ba1	0x6b5ba1	0x6b5ba7
0x100ab19b	memcpy	SAME	下线宝宝死亡	下线宝宝死亡	0x6b5ba1	0x6b5ba1	0x6b5ba7
0x100ab4ac	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741a21	0x741a21	0x741a26
0x100ab4e6	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741a5c	0x741a5c	0x741a61
0x100ab523	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741a97	0x741a97	0x741a9c
0x100ab560	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741ad2	0x741ad2	0x741ad7
0x100ab59d	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741b0d	0x741b0d	0x741b12
0x100ab5da	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741b48	0x741b48	0x741b4d
0x100ab617	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741b83	0x741b83	0x741b88
0x100ab654	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741bbe	0x741bbe	0x741bc3
0x100ab691	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741bf9	0x741bf9	0x741bfe
0x100ab6ce	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741c34	0x741c34	0x741c39
0x100ab70b	memcpy	SAME	屏蔽属性提升提示	屏蔽属性提升提示	0x741c6f	0x741c6f	0x741c74
